iter	Passed	Remaining
430	1670	2205
431	1674	2201
432	1677	2197
433	1682	2194
434	1686	2190
435	1690	2186
436	1694	2182
437	1698	2179
438	1703	2176
439	1707	2173
440	1712	2170
441	1718	2169
442	1723	2167
443	1727	2163
444	1733	2162
445	1737	2158
446	1741	2154
447	1747	2153
448	1752	2150
449	1756	2146
450	1760	2143
451	1765	2140
452	1770	2138
453	1775	2135
454	1781	2134
455	1786	2131
456	1790	2127
457	1794	2124
458	1799	2120
459	1803	2116
460	1806	2112
461	1811	2109
462	1815	2105
463	1819	2101
464	1823	2097
465	1827	2094
466	1831	2090
467	1836	2087
468	1839	2082
469	1843	2078
470	1848	2075
471	1852	2071
472	1855	2067
473	1859	2063
474	1863	2059
475	1867	2055
476	1870	2051
477	1874	2046
478	1878	2042
479	1882	2038
480	1885	2034
481	1889	2030
482	1893	2026
483	1898	2023
484	1902	2020
485	1907	2017
486	1912	2015
487	1917	2011
488	1922	2008
489	1926	2005
490	1930	2001
491	1934	1997
492	1938	1993
493	1943	1990
494	1947	1987
495	1951	1983
496	1956	1980
497	1960	1975
498	1964	1971
499	1967	1967
500	1971	1963
501	1975	1959
502	1979	1955
503	1983	1951
504	1986	1947
505	1990	1943
506	1994	1939
507	1998	1935
508	2002	1931
509	2005	1927
510	2009	1923
511	2012	1918
512	2016	1914
513	2020	1910
514	2024	1906
515	2028	1902
516	2032	1898
517	2035	1894
518	2039	1890
519	2043	1886
520	2047	1882
521	2051	1878
522	2055	1874
523	2059	1870
524	2062	1866
525	2066	1862
526	2070	1857
527	2074	1854
528	2077	1850
529	2081	1846
530	2085	1841
531	2089	1837
532	2093	1834
533	2097	1830
534	2100	1825
535	2104	1821
536	2108	1818
537	2112	1814
538	2116	1810
539	2120	1806
540	2123	1801
541	2127	1797
542	2131	1793
543	2135	1790
544	2139	1785
545	2142	1781
546	2146	1777
547	2150	1773
548	2153	1769
549	2158	1765
550	2162	1762
551	2166	1758
552	2170	1754
553	2174	1750
554	2178	1746
555	2182	1742
556	2186	1738
557	2190	1735
558	2194	1731
559	2198	1727
560	2202	1723
561	2206	1719
562	2209	1715
563	2213	1711
564	2217	1707
565	2220	1702
566	2224	1698
567	2227	1694
568	2231	1690
569	2234	1685
570	2238	1681
571	2242	1677
572	2245	1673
573	2249	1669
574	2253	1665
575	2257	1661
576	2261	1657
577	2264	1653
578	2268	1649
579	2272	1645
580	2275	1641
581	2279	1637
582	2284	1634
583	2289	1630
584	2294	1627
585	2298	1623
586	2302	1619
587	2306	1615
588	2309	1611
589	2313	1607
590	2316	1603
591	2320	1599
592	2324	1595
593	2328	1591
594	2332	1587
595	2336	1583
596	2339	1579
597	2343	1575
598	2347	1571
599	2350	1567
600	2354	1563
601	2358	1559
602	2362	1555
603	2365	1551
604	2369	1547
605	2373	1542
606	2376	1538
607	2380	1534
608	2384	1530
609	2388	1527
610	2393	1523
611	2397	1520
612	2403	1517
613	2409	1514
614	2413	1511
615	2418	1507
616	2423	1504
617	2427	1500
618	2432	1497
619	2437	1493
620	2441	1490
621	2447	1487
622	2452	1483
623	2456	1480
624	2461	1476
625	2465	1473
626	2470	1469
627	2474	1465
628	2478	1461
629	2482	1458
630	2488	1454
631	2492	1451
632	2496	1447
633	2501	1443
634	2505	1440
635	2510	1436
636	2514	1432
637	2519	1429
638	2523	1425
639	2528	1422
640	2533	1418
641	2537	1415
642	2542	1411
643	2546	1407
644	2551	1404
645	2558	1401
646	2562	1398
647	2567	1394
648	2572	1391
649	2576	1387
650	2581	1383
651	2587	1380
652	2593	1378
653	2599	1375
654	2605	1372
655	2610	1369
656	2615	1365
657	2619	1361
658	2623	1357
659	2627	1353
660	2631	1349
661	2635	1345
662	2639	1341
663	2642	1337
664	2646	1333
665	2650	1329
666	2653	1324
667	2657	1320
668	2661	1316
669	2665	1312
670	2669	1308
671	2674	1305
672	2678	1301
673	2682	1297
674	2686	1293
675	2691	1290
676	2695	1286
677	2700	1282
678	2704	1278
679	2709	1275
680	2713	1271
681	2717	1267
682	2722	1263
683	2726	1259
684	2730	1255
685	2735	1251
686	2739	1248
687	2743	1244
688	2747	1240
689	2752	1236
690	2756	1232
691	2760	1228
692	2765	1225
693	2771	1221
694	2775	1218
695	2780	1214
696	2784	1210
697	2789	1206
698	2793	1202
699	2796	1198
700	2800	1194
701	2804	1190
702	2808	1186
703	2812	1182
704	2816	1178
705	2821	1174
706	2824	1170
707	2828	1166
708	2832	1162
709	2836	1158
710	2840	1154
711	2844	1150
712	2847	1146
713	2851	1142
714	2855	1138
715	2859	1134
716	2862	1130
717	2867	1126
718	2870	1122
719	2874	1117
720	2878	1113
721	2881	1109
722	2885	1105
723	2889	1101
724	2893	1097
725	2896	1093
726	2900	1089
727	2903	1084
728	2907	1080
729	2910	1076
730	2914	1072
731	2918	1068
732	2921	1064
733	2925	1060
734	2929	1056
735	2933	1052
736	2937	1048
737	2941	1044
738	2945	1040
739	2948	1036
740	2952	1032
741	2956	1028
742	2960	1024
743	2964	1019
744	2968	1016
745	2972	1011
746	2975	1007
747	2979	1003
748	2983	999
749	2987	995
750	2991	991
751	2995	987
752	2998	983
753	3002	979
754	3006	975
755	3009	971
756	3013	967
757	3017	963
758	3021	959
759	3025	955
760	3029	951
761	3032	947
762	3036	943
763	3040	939
764	3044	935
765	3048	931
766	3051	927
767	3055	923
768	3059	919
769	3063	915
770	3067	910
771	3070	906
772	3074	902
773	3078	898
774	3082	894
775	3086	890
