iter	Logloss
0	0.6635394114
1	0.6386750946
2	0.6130101186
3	0.5926389127
4	0.574214504
5	0.5555312003
6	0.540983896
7	0.5218918697
8	0.5102383702
9	0.4981464805
10	0.4895746292
11	0.4801976311
12	0.4731971101
13	0.4650601498
14	0.4579097214
15	0.4511543263
16	0.4417692036
17	0.4355406225
18	0.4264041444
19	0.4194135984
20	0.4140416496
21	0.4095504707
22	0.4034104637
23	0.3981111938
24	0.3937948363
25	0.389976503
26	0.387593236
27	0.3843583072
28	0.3809931899
29	0.3779443814
30	0.374628005
31	0.3721195271
32	0.369797192
33	0.3663203418
34	0.3635573368
35	0.3608855624
36	0.3579951804
37	0.354680186
38	0.3522596564
39	0.3506142461
40	0.3485607967
41	0.3461685661
42	0.3429012798
43	0.3413623333
44	0.3394526914
45	0.3386168434
46	0.3368810752
47	0.3356732958
48	0.3337208391
49	0.3311419704
50	0.3292465092
51	0.328289557
52	0.3274152517
53	0.325543385
54	0.3246463794
55	0.3228968546
56	0.3215443836
57	0.3205450772
58	0.3193594199
59	0.3185778325
60	0.3170098894
61	0.3149414158
62	0.3132956132
63	0.31255915
64	0.3111660541
65	0.3101989226
66	0.3083257355
67	0.3074888802
68	0.3068335556
69	0.3057119185
70	0.3041410376
71	0.3030328528
72	0.3013316312
73	0.2989071957
74	0.2982383997
75	0.2978120015
76	0.296949615
77	0.2963699571
78	0.2952857102
79	0.2942685816
80	0.2931161931
81	0.2923331895
82	0.2917869893
83	0.2906622956
84	0.2896685873
85	0.2888859582
86	0.2876114339
87	0.2864289043
88	0.2859299099
89	0.2845506819
90	0.2827751859
91	0.2821563596
92	0.2811504655
93	0.2802154406
94	0.279744763
95	0.2785048562
96	0.2773410321
97	0.2756589716
98	0.2747917988
99	0.2744320251
100	0.2734919981
101	0.2728698503
102	0.2718308809
103	0.2715110739
104	0.2710894521
105	0.270572607
106	0.2701921204
107	0.2697828538
108	0.2690630023
109	0.2686635867
110	0.2677241258
111	0.2671789853
112	0.2660283432
113	0.2656752327
114	0.2648783123
115	0.264225133
116	0.2638183007
117	0.2633041985
118	0.2624616284
119	0.2619540379
120	0.2611974762
121	0.2605700871
122	0.2598973135
123	0.2593318368
124	0.2584759574
125	0.257492355
126	0.2570421676
127	0.2567719052
128	0.2564671486
129	0.2559608439
130	0.2552948372
131	0.2546364137
132	0.2540342242
133	0.2531375494
134	0.2524136686
135	0.2515477478
136	0.2512258028
137	0.2504597859
138	0.2499938806
139	0.2494822441
140	0.2491199032
141	0.2485380546
142	0.2477009117
143	0.2473819354
144	0.2467217001
145	0.2460406382
146	0.2457765287
147	0.2453008529
148	0.2445839503
149	0.2442605493
150	0.2439757228
151	0.2437308574
152	0.2432640119
153	0.2427574407
154	0.2423229223
155	0.2416662738
156	0.2413793868
157	0.2406073182
158	0.240171382
159	0.2398958389
160	0.2394012572
161	0.2391422003
162	0.2384158734
163	0.2380902116
164	0.2377723555
165	0.2375021866
166	0.2372303317
167	0.2368861266
168	0.2366093213
169	0.2362989896
170	0.2358475648
171	0.2352904607
172	0.2349977137
173	0.2343751151
174	0.2337943544
175	0.2332492901
176	0.2330243342
177	0.2324227345
178	0.2322075921
179	0.2318228094
180	0.2315046416
181	0.2310684269
182	0.230743901
183	0.2304678396
184	0.2302124925
185	0.2298718219
186	0.2294181432
187	0.2291494849
188	0.2288610346
189	0.2285435151
190	0.2280073135
191	0.2273732484
192	0.2271841455
193	0.2261966619
194	0.2259515209
195	0.2257396837
196	0.2254115175
197	0.2248208403
198	0.2244457283
199	0.2241146047
200	0.2237886972
201	0.2234878733
202	0.2232560838
203	0.2229903091
204	0.2227748267
205	0.2225659135
206	0.2223360521
207	0.2221346623
208	0.2218466297
209	0.22141124
210	0.2208130604
211	0.2205773572
212	0.2204186054
213	0.2201313207
214	0.2198784255
215	0.2196954712
216	0.2191857519
217	0.2186532616
218	0.218387922
219	0.218110313
220	0.2175028662
221	0.2172534061
222	0.2171167712
223	0.2168219806
224	0.2163960925
225	0.215934654
226	0.2155078671
227	0.2150494246
228	0.2147299401
229	0.2143274631
230	0.213969117
231	0.213686846
232	0.2134305551
233	0.2132400545
234	0.2130308883
235	0.2128090324
236	0.212448649
237	0.2121280951
238	0.2118025871
239	0.2114410098
240	0.2112079291
241	0.2108345904
242	0.2105859738
243	0.2102769744
244	0.2100080585
245	0.2098067554
246	0.2096555389
247	0.2094539305
248	0.2089710382
249	0.2087038541
250	0.2084533117
251	0.2079120837
252	0.2076517011
253	0.2073501525
254	0.2070350228
255	0.2067773427
256	0.2066219863
257	0.2061162124
258	0.2058611585
259	0.2055597833
260	0.2053404744
261	0.2050357603
